M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
336,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
344,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
352,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
360,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
368,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
376,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
384,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
392,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
400,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
408,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
416,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
424,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
432,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
440,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
448,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
456,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
464,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
472,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
480,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
488,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
496,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
504,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
72,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
80,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
88,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
104,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
112,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
120,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
136,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
144,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
152,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
160,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
168,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
176,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
184,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
192,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
200,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
208,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
216,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
224,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
232,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
240,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
248,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
264,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
272,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
280,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
288,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
296,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
304,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
312,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
320,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
328,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
336,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
344,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
376,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
384,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
72,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
88,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
360,4096,512,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
48,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
72,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
80,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
120,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
