gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,4,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2528,4,27.9453,flydsl_gemm3_abf16_wbf16_bf16_t16x128x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0144,21.61,5408.51
gfx950,256,4,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6319,2,38.9574,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0165,23.26,5818.9
gfx950,256,4,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,35,6,21.9301,flydsl_gemm2_abf16_wbf16_bf16_t16x128x128_split_k6_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.017,20.66,5169.57
gfx950,256,4,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,103.6984,auto,0.0,23.71,5931.1
gfx950,256,8,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7472,6,8.1056,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0186,27.94,3509.51
gfx950,256,8,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7038,6,8.636,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0173,29.14,3658.7
gfx950,256,8,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.3991,auto,0.0,27.21,3418.92
gfx950,256,8,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7423,2,12.4128,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0049,36.49,4575.53
gfx950,256,8,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5531,2,15.176,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0058,39.8,4987.75
gfx950,256,8,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2528,4,28.316,flydsl_gemm3_abf16_wbf16_bf16_t16x128x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0154,42.66,5342.91
gfx950,256,8,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4896,2,39.0567,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0076,46.39,5809.13
gfx950,256,8,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,32,6,22.9846,flydsl_gemm2_abf16_wbf16_bf16_t16x128x128_split_k6_block_m_warp1_block_n_warp1_block_k_warp4_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0325,39.42,4937.74
gfx950,256,8,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,104.5808,auto,0.0,47.01,5885.36
gfx950,256,16,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7472,6,8.6242,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0171,52.52,3314.15
gfx950,256,16,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4294,6,9.4844,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0175,53.07,3346.11
gfx950,256,16,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.9217,auto,0.0,50.83,3209.91
gfx950,256,16,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4401,2,12.6048,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.005,71.87,4519.48
gfx950,256,16,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2528,4,29.2579,flydsl_gemm3_abf16_wbf16_bf16_t16x128x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0149,82.57,5180.99
gfx950,256,16,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2983,2,39.9249,flydsl_gemm3_abf16_wbf16_bf16_t16x64x256_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0167,90.77,5692.66
gfx950,256,16,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4210,2,24.4916,flydsl_gemm4_abf16_wbf16_bf16_t16x128x128_split_k2_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0054,73.98,4643.95
gfx950,256,16,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,109.9794,auto,0.0,89.41,5604.63
gfx950,256,32,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7589,6,10.1809,flydsl_gemm8_abf16_wbf16_bf16_t32x64x64_split_k6_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0172,88.99,2833.96
gfx950,256,32,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5533,3,10.4483,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k3_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0175,96.34,3064.07
gfx950,256,32,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.173,auto,0.0,98.53,3143.29
gfx950,256,32,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,14.4783,auto,0.0,125.15,3958.42
gfx950,256,32,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2714,4,31.9239,flydsl_gemm3_abf16_wbf16_bf16_t32x128x128_split_k4_block_m_warp2_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0228,151.35,4766.79
gfx950,256,32,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3375,2,43.3481,flydsl_gemm3_abf16_wbf16_bf16_t32x64x256_split_k2_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0077,167.2,5261.25
gfx950,256,32,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4282,1,27.1169,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,133.64,4212.47
gfx950,256,32,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,119.3278,auto,0.0,164.82,5180.61
gfx950,256,64,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4947,4,13.0628,flydsl_gemm3_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp4_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.013,138.71,2250.12
gfx950,256,64,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6160,3,12.8967,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k3_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0101,156.11,2525.56
gfx950,256,64,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3508,1,9.6728,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,166.51,2710.11
gfx950,256,64,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,18.2873,auto,0.0,198.16,3171.56
gfx950,256,64,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,36.9248,native,0.0,261.71,4153.15
gfx950,256,64,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,47.3602,native,0.0,306.07,4848.76
gfx950,256,64,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4166,1,30.8581,flydsl_gemm3_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp2_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,234.87,3733.62
gfx950,256,64,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,127.4985,native,0.0,308.51,4876.8
gfx950,256,128,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,17.5597,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0101,206.37,1735.46
gfx950,256,128,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,18.2592,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0101,220.52,1844.85
gfx950,256,128,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4892,1,11.2883,flydsl_gemm5_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp4_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,285.36,2415.15
gfx950,256,128,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7460,1,22.7009,flydsl_gemm4_abf16_wbf16_bf16_t48x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,319.27,2615.56
gfx950,256,128,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,42.7609,native,0.0,451.99,3641.49
gfx950,256,128,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,54.4478,native,0.0,532.46,4275.36
gfx950,256,128,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,37.9916,native,0.0,381.55,3084.32
gfx950,256,128,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,144.8803,native,0.0,542.99,4341.33
gfx950,256,196,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8784,8,6.6515,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0213,46.35,606.1
gfx950,256,196,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6895,1,20.0019,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,277.43,1581.01
gfx950,256,196,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,2,23.4609,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0058,262.8,1486.27
gfx950,256,196,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2244,1,14.2707,flydsl_gemm3_abf16_wbf16_bf16_t128x64x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0034,345.64,1988.49
gfx950,256,196,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3874,1,19.7757,flydsl_gemm3_abf16_wbf16_bf16_t128x64x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0042,374.13,2091.53
gfx950,256,196,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4077,1,27.9519,flydsl_gemm3_abf16_wbf16_bf16_t128x64x128_split_k1_block_m_warp4_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0052,397.04,2176.52
gfx950,256,196,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3938,1,36.9808,flydsl_gemm3_abf16_wbf16_bf16_t128x64x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0057,400.14,2171.79
gfx950,256,196,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,61.3591,native,0.0,482.32,2578.6
gfx950,256,196,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,74.969,native,0.0,592.14,3149.65
gfx950,256,196,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,47.5847,native,0.0,466.46,2506.42
gfx950,256,196,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,9,0,168.0445,opus_gemm_512x256x256x64_2x4_16x16x32_0x0x0,0.0,716.84,3788.35
gfx950,256,256,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,24.5201,native,0.0,295.58,1331.03
gfx950,256,256,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,25.3391,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0057,317.81,1417.32
gfx950,256,256,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4440,1,15.1609,flydsl_gemm4_abf16_wbf16_bf16_t96x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,424.94,1936.57
gfx950,256,256,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,30.1422,native,0.0,480.9,2061.17
gfx950,256,256,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7773,1,78.8468,flydsl_gemm4_abf16_wbf16_bf16_t96x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,490.25,2034.73
gfx950,256,256,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,86.3833,native,0.0,671.22,2767.61
gfx950,256,256,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,51.8722,native,0.0,558.89,2334.79
gfx950,256,256,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,168.7337,native,0.0,932.46,3812.82
gfx950,256,320,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5287,6,7.6935,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k6_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0266,65.42,726.19
gfx950,256,320,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5531,1,27.1301,flydsl_gemm3_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0055,333.94,1242.84
gfx950,256,320,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5531,1,27.2613,flydsl_gemm3_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0055,369.25,1358.26
gfx950,256,320,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2932,1,15.5421,flydsl_gemm3_abf16_wbf16_bf16_t64x128x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0034,518.15,1956.54
gfx950,256,320,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5066,1,21.9178,flydsl_gemm3_abf16_wbf16_bf16_t64x128x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0042,551.13,1991.39
gfx950,256,320,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5348,1,32.3949,flydsl_gemm3_abf16_wbf16_bf16_t64x128x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0052,559.33,1960.32
gfx950,256,320,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5142,1,42.1862,flydsl_gemm3_abf16_wbf16_bf16_t64x128x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0057,572.68,1976.04
gfx950,256,320,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,79.0458,native,0.0,611.27,2059.46
gfx950,256,320,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,100.3848,native,0.0,722.0,2412.93
gfx950,256,320,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6156,1,59.2289,flydsl_gemm4_abf16_wbf16_bf16_t128x128x64_split_k1_block_m_warp4_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,611.84,2077.98
gfx950,256,320,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,211.3786,native,0.0,930.42,3077.6
gfx950,256,512,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5284,4,9.3755,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,85.89,852.8
gfx950,256,512,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7710,1,33.9135,flydsl_gemm4_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,427.43,1089.9
gfx950,256,512,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7706,1,34.2563,flydsl_gemm4_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0057,470.17,1178.47
gfx950,256,512,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3507,1,21.5278,flydsl_gemm4_abf16_wbf16_bf16_t128x128x64_split_k1_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,598.52,1558.66
gfx950,256,512,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6080,1,31.2831,flydsl_gemm4_abf16_wbf16_bf16_t128x128x64_split_k1_block_m_warp4_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,617.82,1508.35
