gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16,10240,4096,torch.float8_e4m3fn,flydsl,677,0,10.1277,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,132.53,4180.24,0.0
gfx950,256,32,10240,4096,torch.float8_e4m3fn,flydsl,320,0,11.062,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x1x4x2_default,242.66,3862.73,0.0
gfx950,256,64,4096,1024,torch.float8_e4m3fn,flydsl,311,0,4.7808,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x4x2_default,112.3,1000.7,0.0
gfx950,256,128,4096,1024,torch.float8_e4m3fn,flydsl,72,0,5.2382,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x0x4x2_default,204.98,1025.92,0.0
gfx950,256,256,4096,1024,torch.float8_e4m3fn,flydsl,518,0,6.0712,flydsl_bpreshuflle_64x64x256_F8_F8_B16_0x2x0x2_default,353.72,1079.46,0.0
gfx950,256,512,4096,1024,torch.float8_e4m3fn,flydsl,458,0,7.2692,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x1x4x2_default,590.84,1226.12,0.0
gfx950,256,1024,4096,1024,torch.float8_e4m3fn,flydsl,234,0,10.0056,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x4x2_default,858.51,1362.39,0.0
gfx950,256,2048,4096,1024,torch.float8_e4m3fn,flydsl,485,0,14.6791,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x4x2_default,1170.36,1571.53,0.0
gfx950,256,4096,4096,1024,torch.float8_e4m3fn,flydsl,245,0,25.664,flydsl_bpreshuflle_256x128x128_F8_F8_B16_1x0x4x2_default,1338.83,1634.31,0.0
gfx950,256,8192,4096,1024,torch.float8_e4m3fn,flydsl,1763,0,48.6791,flydsl_bpreshuflle_128x256x128_F8_F8_B16_0x2x4x1_default,1411.68,1637.08,0.0
gfx950,256,64,4096,4096,torch.float8_e4m3fn,ck,11,0,8.374,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,256.45,2097.4,0.0
gfx950,256,128,4096,4096,torch.float8_e4m3fn,flydsl,1722,0,9.7705,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x2x4x1_default,439.59,1878.11,0.0
gfx950,256,256,4096,4096,torch.float8_e4m3fn,ck,114,0,12.8635,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,667.78,1548.8,0.0
gfx950,256,512,4096,4096,torch.float8_e4m3fn,flydsl,928,0,16.0292,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x3x4x2_default,1071.79,1439.17,0.0
gfx950,256,1024,4096,4096,torch.float8_e4m3fn,flydsl,952,0,23.5732,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x3x4x2_default,1457.58,1245.49,0.0
gfx950,256,2048,4096,4096,torch.float8_e4m3fn,flydsl,727,0,35.9447,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,1911.81,1166.88,0.0
gfx950,256,4096,4096,4096,torch.float8_e4m3fn,flydsl,1331,0,66.8132,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x0x1_default,2057.06,1004.43,0.0
gfx950,256,8192,4096,4096,torch.float8_e4m3fn,flydsl,727,0,124.7335,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2203.72,941.53,0.0
gfx950,256,64,8704,4096,torch.float8_e4m3fn,flydsl,2070,0,13.1288,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x3x4x1_default,347.59,2820.35,0.0
gfx950,256,128,8704,4096,torch.float8_e4m3fn,flydsl,698,0,16.1327,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x2x4x2_default,565.73,2380.51,0.0
gfx950,256,256,8704,4096,torch.float8_e4m3fn,flydsl,234,0,21.3255,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x4x2_default,855.95,1929.92,0.0
gfx950,256,512,8704,4096,torch.float8_e4m3fn,cktile,125,0,31.7843,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_80x128x256_1x4x1_16x16x128_default,1148.59,1468.07,0.0
gfx950,256,1024,8704,4096,torch.float8_e4m3fn,flydsl,234,0,50.0631,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x4x2_default,1458.45,1151.98,0.0
gfx950,256,2048,8704,4096,torch.float8_e4m3fn,cktile,82,0,83.549,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_96x256x128_1x4x1_16x16x128_default,1747.82,953.83,0.0
gfx950,256,4096,8704,4096,torch.float8_e4m3fn,flydsl,727,0,144.1547,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2026.0,858.33,0.0
gfx950,256,8192,8704,4096,torch.float8_e4m3fn,flydsl,727,0,247.5521,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2359.57,855.63,0.0
gfx950,256,64,10240,4096,torch.float8_e4m3fn,flydsl,1129,0,13.985,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x4x4x2_default,383.89,3111.61,0.0
gfx950,256,128,10240,4096,torch.float8_e4m3fn,flydsl,700,0,16.6906,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x2x4x2_default,643.32,2701.45,0.0
gfx950,256,256,10240,4096,torch.float8_e4m3fn,flydsl,952,0,21.7093,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x3x4x2_default,989.2,2221.84,0.0
gfx950,256,512,10240,4096,torch.float8_e4m3fn,flydsl,234,0,33.2179,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x4x2_default,1292.97,1641.46,0.0
gfx950,256,1024,10240,4096,torch.float8_e4m3fn,flydsl,482,0,54.2639,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x1x4x2_default,1582.99,1236.71,0.0
gfx950,256,2048,10240,4096,torch.float8_e4m3fn,flydsl,727,0,86.703,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,1981.46,1064.26,0.0
gfx950,256,4096,10240,4096,torch.float8_e4m3fn,flydsl,727,0,150.4111,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2284.39,948.11,0.0
gfx950,256,8192,10240,4096,torch.float8_e4m3fn,flydsl,727,0,276.3923,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2486.3,880.16,0.0
gfx950,256,1,64,4096,torch.float8_e4m3fn,ck,24,0,5.2084,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,0.1,51.14,0.0
gfx950,256,2,64,4096,torch.float8_e4m3fn,ck,24,0,5.226,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,0.2,51.78,0.0
gfx950,256,4,64,4096,torch.float8_e4m3fn,ck,10,1,5.0954,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.41,54.76,0.0469
gfx950,256,8,64,4096,torch.float8_e4m3fn,ck,24,0,5.4668,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,0.77,54.13,0.0
gfx950,256,12,64,4096,torch.float8_e4m3fn,ck,24,0,5.5441,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.13,56.43,0.0
gfx950,256,16,64,4096,torch.float8_e4m3fn,ck,10,0,4.2845,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.96,76.96,0.0
gfx950,256,24,64,4096,torch.float8_e4m3fn,ck,25,1,5.3641,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,2.35,67.77,0.0469
gfx950,256,32,64,4096,torch.float8_e4m3fn,ck,10,0,4.6593,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,3.6,85.27,0.0
gfx950,256,40,64,4096,torch.float8_e4m3fn,ck,5,1,5.321,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,3.94,81.02,0.0488
gfx950,256,48,64,4096,torch.float8_e4m3fn,ck,11,0,5.0988,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,4.94,91.18,0.0
gfx950,256,56,64,4096,torch.float8_e4m3fn,flydsl,2149,0,5.1108,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,5.74,97.58,0.0
gfx950,256,64,64,4096,torch.float8_e4m3fn,ck,11,0,5.0923,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,6.59,104.57,0.0
gfx950,256,72,64,4096,torch.float8_e4m3fn,flydsl,852,0,5.544,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x1x0_default,6.81,102.14,0.0
gfx950,256,80,64,4096,torch.float8_e4m3fn,ck,10,0,5.2384,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,8.01,114.55,0.0
gfx950,256,88,64,4096,torch.float8_e4m3fn,ck,19,1,5.4717,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,8.43,115.84,0.0469
gfx950,256,96,64,4096,torch.float8_e4m3fn,ck,5,0,5.5643,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,9.05,119.99,0.0
gfx950,256,104,64,4096,torch.float8_e4m3fn,flydsl,2149,0,5.6516,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,9.65,124.11,0.0
gfx950,256,112,64,4096,torch.float8_e4m3fn,flydsl,852,0,5.6224,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x1x0_default,10.44,130.77,0.0
gfx950,256,120,64,4096,torch.float8_e4m3fn,flydsl,1512,0,5.667,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x2x0_default,11.1,135.7,0.0
gfx950,256,128,64,4096,torch.float8_e4m3fn,ck,11,1,4.9041,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,13.68,163.7,0.0488
gfx950,256,136,64,4096,torch.float8_e4m3fn,flydsl,2149,0,5.6494,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,12.62,148.09,0.0
gfx950,256,144,64,4096,torch.float8_e4m3fn,ck,10,0,5.2853,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,14.28,164.68,0.0
gfx950,256,152,64,4096,torch.float8_e4m3fn,flydsl,2743,0,5.6813,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x4x0_default,14.03,159.15,0.0
gfx950,256,160,64,4096,torch.float8_e4m3fn,flydsl,1512,0,5.6586,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x2x0_default,14.82,165.76,0.0
gfx950,256,168,64,4096,torch.float8_e4m3fn,flydsl,2149,0,5.7002,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,15.45,170.48,0.0
gfx950,256,176,64,4096,torch.float8_e4m3fn,flydsl,188,0,5.7004,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x0x0_default,16.19,176.4,0.0
gfx950,256,184,64,4096,torch.float8_e4m3fn,flydsl,852,0,5.7202,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x1x0_default,16.86,181.7,0.0
gfx950,256,192,64,4096,torch.float8_e4m3fn,ck,10,0,5.5996,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,17.98,191.65,0.0
gfx950,256,200,64,4096,torch.float8_e4m3fn,flydsl,2149,0,6.2755,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,16.71,176.39,0.0
gfx950,256,208,64,4096,torch.float8_e4m3fn,ck,10,0,5.8514,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,18.64,194.95,0.0
gfx950,256,216,64,4096,torch.float8_e4m3fn,flydsl,2149,0,6.2847,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,18.02,186.89,0.0
gfx950,256,224,64,4096,torch.float8_e4m3fn,ck,10,0,5.7014,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,20.6,211.93,0.0
gfx950,256,232,64,4096,torch.float8_e4m3fn,flydsl,1512,0,6.4405,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x2x0_default,18.89,192.86,0.0
gfx950,256,240,64,4096,torch.float8_e4m3fn,ck,10,0,5.8601,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,21.47,217.73,0.0
gfx950,256,248,64,4096,torch.float8_e4m3fn,flydsl,852,0,6.5311,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x1x0_default,19.91,200.53,0.0
gfx950,256,256,64,4096,torch.float8_e4m3fn,ck,8,0,6.2045,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,21.63,216.53,0.0
gfx950,256,264,64,4096,torch.float8_e4m3fn,flydsl,188,0,6.6656,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x0x0_default,20.77,206.63,0.0
gfx950,256,272,64,4096,torch.float8_e4m3fn,ck,10,0,6.3599,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,22.42,221.87,0.0
gfx950,256,280,64,4096,torch.float8_e4m3fn,flydsl,1512,0,6.7181,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x2x0_default,21.85,215.07,0.0
gfx950,256,288,64,4096,torch.float8_e4m3fn,ck,10,0,6.0712,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,24.87,243.55,0.0
gfx950,256,296,64,4096,torch.float8_e4m3fn,cktile,2,0,6.9957,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x128_default,22.18,216.2,0.0
gfx950,256,304,64,4096,torch.float8_e4m3fn,ck,10,0,6.4615,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,24.67,239.3,0.0
gfx950,256,312,64,4096,torch.float8_e4m3fn,cktile,137,0,6.9775,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,23.44,226.45,0.0
gfx950,256,320,64,4096,torch.float8_e4m3fn,ck,10,0,6.5431,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,25.64,246.65,0.0
gfx950,256,328,64,4096,torch.float8_e4m3fn,cktile,30,0,6.9934,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x128_default,24.59,235.6,0.0
gfx950,256,336,64,4096,torch.float8_e4m3fn,ck,10,0,6.7475,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,26.11,249.19,0.0
gfx950,256,344,64,4096,torch.float8_e4m3fn,cktile,138,0,7.0947,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x128_default,25.42,241.76,0.0
gfx950,256,352,64,4096,torch.float8_e4m3fn,ck,8,0,6.8416,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,26.97,255.64,0.0
gfx950,256,360,64,4096,torch.float8_e4m3fn,cktile,137,0,7.1523,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,26.39,249.26,0.0
gfx950,256,368,64,4096,torch.float8_e4m3fn,ck,10,0,6.4307,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,30.0,282.48,0.0
gfx950,256,376,64,4096,torch.float8_e4m3fn,cktile,30,0,7.171,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x128_default,27.49,258.03,0.0
gfx950,256,384,64,4096,torch.float8_e4m3fn,ck,10,0,6.4786,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,31.08,290.83,0.0
gfx950,256,392,64,4096,torch.float8_e4m3fn,cktile,137,0,7.2361,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,28.4,265.05,0.0
gfx950,256,400,64,4096,torch.float8_e4m3fn,ck,10,0,6.4639,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,32.44,301.95,0.0
gfx950,256,408,64,4096,torch.float8_e4m3fn,flydsl,852,0,7.2231,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x1x0_default,29.61,274.89,0.0
gfx950,256,416,64,4096,torch.float8_e4m3fn,ck,10,0,6.7783,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,32.18,297.91,0.0
gfx950,256,424,64,4096,torch.float8_e4m3fn,ck,19,1,6.5598,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,33.89,312.99,0.0489
gfx950,256,432,64,4096,torch.float8_e4m3fn,ck,10,0,6.4519,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,35.1,323.46,0.0
gfx950,256,440,64,4096,torch.float8_e4m3fn,cktile,138,0,7.1835,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x128_default,32.11,295.22,0.0
gfx950,256,448,64,4096,torch.float8_e4m3fn,ck,10,0,6.8459,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,34.31,314.71,0.0
gfx950,256,456,64,4096,torch.float8_e4m3fn,flydsl,188,0,7.3599,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x0x0_default,32.48,297.33,0.0
gfx950,256,464,64,4096,torch.float8_e4m3fn,ck,10,0,6.8658,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,35.43,323.64,0.0
gfx950,256,472,64,4096,torch.float8_e4m3fn,cktile,138,0,7.3114,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x128_default,33.85,308.54,0.0
gfx950,256,480,64,4096,torch.float8_e4m3fn,ck,10,0,6.4957,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,38.74,352.49,0.0
gfx950,256,488,64,4096,torch.float8_e4m3fn,cktile,137,0,7.3072,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,35.01,317.97,0.0
gfx950,256,496,64,4096,torch.float8_e4m3fn,ck,10,0,7.022,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,37.03,335.69,0.0
gfx950,256,504,64,4096,torch.float8_e4m3fn,cktile,2,0,7.2953,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x128_default,36.22,327.75,0.0
gfx950,256,512,64,4096,torch.float8_e4m3fn,ck,11,1,6.0738,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,44.2,399.23,0.05
gfx950,256,1024,64,4096,torch.float8_e4m3fn,ck,10,0,7.1976,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,74.59,637.37,0.0
gfx950,256,1536,64,4096,torch.float8_e4m3fn,ck,10,0,6.7237,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,119.77,1003.94,0.0
gfx950,256,2048,64,4096,torch.float8_e4m3fn,ck,8,0,7.1846,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,149.45,1240.56,0.0
gfx950,256,4096,64,4096,torch.float8_e4m3fn,cktile,137,0,8.2551,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,260.14,2127.61,0.0
gfx950,256,4224,64,4096,torch.float8_e4m3fn,ck,10,0,9.1213,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,242.79,1984.84,0.0
