M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
256,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
48,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
48,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
