M,N,K
80,2240,7168
80,8192,1536
80,11264,1536
96,3072,1536
96,4096,512
96,7168,2048
96,4608,7168
96,7168,2304
96,128,7168
96,2112,7168
96,2240,7168
96,8192,1536
96,11264,1536
112,3072,1536
112,4096,512
112,7168,2048
112,4608,7168
112,7168,2304
112,128,7168
112,2112,7168
112,2240,7168
112,8192,1536
112,11264,1536
128,3072,1536
128,4096,512
128,7168,2048
128,4608,7168
128,7168,2304
128,128,7168
128,2112,7168
128,2240,7168
128,8192,1536
128,11264,1536
128,6144,1536
128,8192,512
128,7168,4096
128,9216,7168
128,7168,4608
128,14336,1536
144,3072,1536
144,4096,512
144,7168,2048
144,4608,7168
144,7168,2304
144,128,7168
144,2112,7168
144,2240,7168
144,8192,1536
144,11264,1536
160,3072,1536
160,4096,512
160,7168,2048
160,4608,7168
160,7168,2304
160,128,7168
160,2112,7168
160,2240,7168
160,8192,1536
160,11264,1536
176,3072,1536
176,4096,512
176,7168,2048
176,4608,7168
176,7168,2304
176,128,7168
176,2112,7168
176,2240,7168
176,8192,1536
176,11264,1536
192,3072,1536
192,4096,512
192,7168,2048
192,4608,7168
192,7168,2304
192,128,7168
192,2112,7168
192,2240,7168
192,8192,1536
192,11264,1536
208,3072,1536
208,4096,512
208,7168,2048
208,4608,7168
208,7168,2304
208,128,7168
208,2112,7168
208,2240,7168
208,8192,1536
208,11264,1536
224,3072,1536
224,4096,512
224,7168,2048
224,4608,7168
224,7168,2304
224,128,7168
224,2112,7168
224,2240,7168
224,8192,1536
224,11264,1536
240,3072,1536
240,4096,512
240,7168,2048
240,4608,7168
240,7168,2304
240,128,7168
240,2112,7168
240,2240,7168
240,8192,1536
240,11264,1536
256,3072,1536
256,4096,512
256,7168,2048
256,4608,7168
256,7168,2304
256,128,7168
256,2112,7168
256,2240,7168
256,8192,1536
256,11264,1536
256,6144,1536
256,8192,512
256,7168,4096
256,9216,7168
256,7168,4608
256,14336,1536
288,3072,1536
288,4096,512
288,7168,2048
288,4608,7168
288,7168,2304
288,128,7168
288,2112,7168
288,2240,7168
288,8192,1536
288,11264,1536
320,3072,1536
320,4096,512
320,7168,2048
320,4608,7168
320,7168,2304
320,128,7168
320,2112,7168
320,2240,7168
320,8192,1536
320,11264,1536
352,3072,1536
352,4096,512
352,7168,2048
352,4608,7168
352,7168,2304
352,128,7168
352,2112,7168
352,2240,7168
352,8192,1536
352,11264,1536
384,3072,1536
384,4096,512
384,7168,2048
384,4608,7168
384,7168,2304
384,128,7168
384,2112,7168
384,2240,7168
384,8192,1536
384,11264,1536
416,3072,1536
416,4096,512
416,7168,2048
416,4608,7168
416,7168,2304
416,128,7168
416,2112,7168
416,2240,7168
416,8192,1536
416,11264,1536
448,3072,1536
448,4096,512
448,7168,2048
448,4608,7168
448,7168,2304
448,128,7168
448,2112,7168
448,2240,7168
448,8192,1536
448,11264,1536
480,3072,1536
480,4096,512
480,7168,2048
480,4608,7168
480,7168,2304
480,128,7168
480,2112,7168
480,2240,7168
480,8192,1536
480,11264,1536
512,3072,1536
512,4096,512
512,7168,2048
512,4608,7168
512,7168,2304
512,128,7168
512,2112,7168
512,2240,7168
512,8192,1536
512,11264,1536
512,6144,1536
512,8192,512
512,7168,4096
512,9216,7168
512,7168,4608
512,14336,1536
544,3072,1536
544,4096,512
544,7168,2048
544,4608,7168
544,7168,2304
544,128,7168
544,2112,7168
544,2240,7168
544,8192,1536
544,11264,1536
576,3072,1536
576,4096,512
576,7168,2048
576,4608,7168
576,7168,2304
576,128,7168
576,2112,7168
576,2240,7168
576,8192,1536
576,11264,1536
608,3072,1536
608,4096,512
608,7168,2048
608,4608,7168
608,7168,2304
608,128,7168
608,2112,7168
608,2240,7168
608,8192,1536
608,11264,1536
640,3072,1536
640,4096,512
640,7168,2048
640,4608,7168
640,7168,2304
640,128,7168
640,2112,7168
640,2240,7168
640,8192,1536
640,11264,1536
672,3072,1536
672,4096,512
672,7168,2048
672,4608,7168
672,7168,2304
672,128,7168
672,2112,7168
672,2240,7168
672,8192,1536
672,11264,1536
704,3072,1536
704,4096,512
704,7168,2048
704,4608,7168
704,7168,2304
704,128,7168
704,2112,7168
704,2240,7168
704,8192,1536
704,11264,1536
736,3072,1536
736,4096,512
736,7168,2048
736,4608,7168
736,7168,2304
736,128,7168
736,2112,7168
736,2240,7168
736,8192,1536
736,11264,1536
768,3072,1536
768,4096,512
768,7168,2048
768,4608,7168
768,7168,2304
768,128,7168
768,2112,7168
768,2240,7168
768,8192,1536
768,11264,1536
800,3072,1536
800,4096,512
800,7168,2048
800,4608,7168
800,7168,2304
800,128,7168
800,2112,7168
800,2240,7168
800,8192,1536
800,11264,1536
832,3072,1536
832,4096,512
832,7168,2048
832,4608,7168
832,7168,2304
832,128,7168
832,2112,7168
832,2240,7168
832,8192,1536
832,11264,1536
864,3072,1536
864,4096,512
864,7168,2048
864,4608,7168
864,7168,2304
864,128,7168
864,2112,7168
864,2240,7168
864,8192,1536
864,11264,1536
896,3072,1536
896,4096,512
896,7168,2048
896,4608,7168
896,7168,2304
896,128,7168
896,2112,7168
896,2240,7168
896,8192,1536
896,11264,1536
928,3072,1536
928,4096,512
928,7168,2048
928,4608,7168
928,7168,2304
928,128,7168
928,2112,7168
928,2240,7168
928,8192,1536
928,11264,1536
960,3072,1536
960,4096,512
960,7168,2048
960,4608,7168
960,7168,2304
960,128,7168
960,2112,7168
960,2240,7168
960,8192,1536
960,11264,1536
992,3072,1536
992,4096,512
992,7168,2048
992,4608,7168
992,7168,2304
992,128,7168
992,2112,7168
992,2240,7168
992,8192,1536
992,11264,1536
1024,3072,1536
1024,4096,512
1024,7168,2048
1024,4608,7168
1024,7168,2304
1024,128,7168
1024,2112,7168
1024,2240,7168
1024,8192,1536
1024,11264,1536
1024,6144,1536
1024,8192,512
1024,7168,4096
1024,9216,7168
1024,7168,4608
1024,14336,1536
1088,3072,1536
1088,4096,512
1088,7168,2048
1088,4608,7168
1088,7168,2304
1088,128,7168
1088,2112,7168
1088,2240,7168
1088,8192,1536
1088,11264,1536
1152,3072,1536
1152,4096,512
1152,7168,2048
1152,4608,7168
1152,7168,2304
1152,128,7168
1152,2112,7168
1152,2240,7168
1152,8192,1536
1152,11264,1536
1216,3072,1536
1216,4096,512
1216,7168,2048
1216,4608,7168
1216,7168,2304
1216,128,7168
1216,2112,7168
1216,2240,7168
1216,8192,1536
1216,11264,1536
1280,3072,1536
1280,4096,512
1280,7168,2048
1280,4608,7168
1280,7168,2304
1280,128,7168
1280,2112,7168
1280,2240,7168
1280,8192,1536
1280,11264,1536
1344,3072,1536
1344,4096,512
1344,7168,2048
1344,4608,7168
1344,7168,2304
1344,128,7168
1344,2112,7168
1344,2240,7168
1344,8192,1536
1344,11264,1536
1408,3072,1536
1408,4096,512
1408,7168,2048
1408,4608,7168
1408,7168,2304
1408,128,7168
1408,2112,7168
1408,2240,7168
1408,8192,1536
1408,11264,1536
1472,3072,1536
1472,4096,512
1472,7168,2048
1472,4608,7168
1472,7168,2304
1472,128,7168
1472,2112,7168
1472,2240,7168
1472,8192,1536
1472,11264,1536
1536,3072,1536
1536,4096,512
1536,7168,2048
1536,4608,7168
1536,7168,2304
1536,128,7168
1536,2112,7168
1536,2240,7168
1536,8192,1536
1536,11264,1536
1600,3072,1536
1600,4096,512
1600,7168,2048
1600,4608,7168
1600,7168,2304
1600,128,7168
1600,2112,7168
1600,2240,7168
1600,8192,1536
1600,11264,1536
1664,3072,1536
1664,4096,512
1664,7168,2048
1664,4608,7168
1664,7168,2304
1664,128,7168
1664,2112,7168
1664,2240,7168
1664,8192,1536
1664,11264,1536
1728,3072,1536
1728,4096,512
1728,7168,2048
1728,4608,7168
1728,7168,2304
1728,128,7168
1728,2112,7168
1728,2240,7168
1728,8192,1536
1728,11264,1536
1792,3072,1536
1792,4096,512
1792,7168,2048
1792,4608,7168
1792,7168,2304
1792,128,7168
1792,2112,7168
1792,2240,7168
1792,8192,1536
1792,11264,1536
1856,3072,1536
1856,4096,512
1856,7168,2048
1856,4608,7168
1856,7168,2304
1856,128,7168
1856,2112,7168
1856,2240,7168
1856,8192,1536
1856,11264,1536
1920,3072,1536
1920,4096,512
1920,7168,2048
1920,4608,7168
1920,7168,2304
1920,128,7168
1920,2112,7168
1920,2240,7168
1920,8192,1536
1920,11264,1536
1984,3072,1536
1984,4096,512
1984,7168,2048
1984,4608,7168
1984,7168,2304
1984,128,7168
1984,2112,7168
1984,2240,7168
1984,8192,1536
1984,11264,1536
2048,3072,1536
2048,4096,512
2048,7168,2048
2048,4608,7168
2048,7168,2304
2048,128,7168
2048,2112,7168
2048,2240,7168
2048,8192,1536
2048,11264,1536
2048,6144,1536
2048,8192,512
2048,7168,4096
2048,9216,7168
2048,7168,4608
2048,14336,1536
4096,3072,1536
4096,4096,512
4096,7168,2048
4096,4608,7168
4096,7168,2304
4096,128,7168
4096,2112,7168
4096,2240,7168
4096,8192,1536
4096,11264,1536
4096,6144,1536
4096,8192,512
4096,7168,4096
4096,9216,7168
4096,7168,4608
4096,14336,1536
8192,3072,1536
8192,4096,512
8192,7168,2048
8192,4608,7168
8192,7168,2304
8192,128,7168
8192,2112,7168
8192,2240,7168
8192,8192,1536
8192,11264,1536
8192,6144,1536
8192,8192,512
8192,7168,4096
8192,9216,7168
8192,7168,4608
8192,14336,1536
16384,3072,1536
16384,4096,512
16384,7168,2048
16384,4608,7168
16384,7168,2304
16384,128,7168
16384,2112,7168
16384,2240,7168
16384,8192,1536
16384,11264,1536
16384,6144,1536
16384,8192,512
16384,7168,4096
16384,9216,7168
16384,7168,4608
16384,14336,1536
32768,3072,1536
32768,4096,512
32768,7168,2048
32768,4608,7168
32768,7168,2304
32768,128,7168
32768,2112,7168
32768,2240,7168
32768,8192,1536
32768,11264,1536
32768,6144,1536
32768,8192,512
32768,7168,4096
32768,9216,7168
32768,7168,4608
32768,14336,1536
