M,N,K
5427,2048,2048
5427,2048,4096
5427,4608,2048
5427,6144,2048
5427,9216,2048
5427,12288,2048
5471,2048,2048
5471,4608,2048
5471,6144,2048
5534,2048,2048
5534,4608,2048
5534,6144,2048
5564,2048,2048
5564,4608,2048
5564,6144,2048
5671,2048,2048
5671,4608,2048
5671,6144,2048
5927,2048,2048
5927,4608,2048
5927,6144,2048
5954,2048,2048
5954,4608,2048
5954,6144,2048
6000,2048,2048
6000,4608,2048
6000,6144,2048
6002,2048,2048
6002,4608,2048
6002,6144,2048
6113,1024,2048
6113,2048,512
6113,2048,4096
6113,9216,2048
6113,12288,2048
6146,256,2048
6146,2048,128
6146,2048,1024
6146,2048,2048
6146,2560,2048
6146,3072,2048
6146,4608,2048
6146,6144,2048
6147,256,2048
6147,2048,128
6147,2048,1024
6147,2560,2048
6147,3072,2048
6155,256,2048
6155,2048,128
6155,2048,1024
6155,2560,2048
6155,3072,2048
6194,2048,2048
6194,4608,2048
6194,6144,2048
6197,1024,2048
6197,2048,512
6197,2048,4096
6197,9216,2048
6197,12288,2048
6227,2048,2048
6227,4608,2048
6227,6144,2048
6229,2048,2048
6229,4608,2048
6229,6144,2048
6234,2048,2048
6234,4608,2048
6234,6144,2048
6246,2048,2048
6246,4608,2048
6246,6144,2048
6304,2048,2048
6304,4608,2048
6304,6144,2048
6314,2048,2048
6314,4608,2048
6314,6144,2048
6318,2048,2048
6318,4608,2048
6318,6144,2048
6341,2048,2048
6341,4608,2048
6341,6144,2048
6377,256,2048
6377,2048,128
6377,2048,1024
6377,2048,2048
6377,2560,2048
6377,3072,2048
6377,4608,2048
6377,6144,2048
6401,256,2048
6401,2048,128
6401,2048,1024
6401,2560,2048
6401,3072,2048
6409,1024,2048
6409,2048,512
6409,2048,4096
6409,9216,2048
6409,12288,2048
6476,2048,2048
6476,4608,2048
6476,6144,2048
6483,2048,2048
6483,4608,2048
6483,6144,2048
6492,2048,2048
6492,4608,2048
6492,6144,2048
6519,2048,2048
6519,4608,2048
6519,6144,2048
6609,2048,2048
6609,4608,2048
6609,6144,2048
6811,2048,2048
6811,4608,2048
6811,6144,2048
6813,2048,2048
6813,4608,2048
6813,6144,2048
6818,2048,2048
6818,4608,2048
6818,6144,2048
6830,2048,2048
6830,4608,2048
6830,6144,2048
7001,2048,2048
7001,4608,2048
7001,6144,2048
7025,2048,2048
7025,4608,2048
7025,6144,2048
7121,256,2048
7121,1024,2048
7121,2048,128
7121,2048,512
7121,2048,1024
7121,2048,2048
7121,2048,4096
7121,2560,2048
7121,3072,2048
7121,4608,2048
7121,6144,2048
7121,9216,2048
7121,12288,2048
7168,1024,2048
7168,2048,512
7168,2048,4096
7168,9216,2048
7168,12288,2048
7169,256,2048
7169,1024,2048
7169,2048,128
7169,2048,512
7169,2048,1024
7169,2048,2048
7169,2048,4096
7169,2560,2048
7169,3072,2048
7169,4608,2048
7169,6144,2048
7169,9216,2048
7169,12288,2048
7170,256,2048
7170,2048,128
7170,2048,1024
7170,2560,2048
7170,3072,2048
7172,1024,2048
7172,2048,512
7172,2048,4096
7172,9216,2048
7172,12288,2048
7176,256,2048
7176,1024,2048
7176,2048,128
7176,2048,512
7176,2048,1024
7176,2048,4096
7176,2560,2048
7176,3072,2048
7176,9216,2048
7176,12288,2048
7177,256,2048
7177,1024,2048
7177,2048,128
7177,2048,512
7177,2048,1024
7177,2048,2048
7177,2048,4096
7177,2560,2048
7177,3072,2048
7177,4608,2048
7177,6144,2048
7177,9216,2048
7177,12288,2048
7178,1024,2048
7178,2048,512
7178,2048,4096
7178,9216,2048
7178,12288,2048
7179,1024,2048
7179,2048,512
7179,2048,4096
7179,9216,2048
7179,12288,2048
7183,1024,2048
7183,2048,512
7183,2048,4096
7183,9216,2048
7183,12288,2048
7184,1024,2048
7184,2048,512
7184,2048,4096
7184,9216,2048
7184,12288,2048
7185,256,2048
7185,2048,128
7185,2048,1024
7185,2560,2048
7185,3072,2048
7206,256,2048
7206,2048,128
7206,2048,1024
7206,2560,2048
7206,3072,2048
7209,1024,2048
7209,2048,512
7209,2048,4096
7209,9216,2048
7209,12288,2048
7210,1024,2048
7210,2048,512
7210,2048,4096
7210,9216,2048
7210,12288,2048
7211,1024,2048
7211,2048,512
7211,2048,4096
7211,9216,2048
7211,12288,2048
7217,256,2048
7217,1024,2048
7217,2048,128
7217,2048,512
7217,2048,1024
7217,2048,2048
7217,2048,4096
7217,2560,2048
7217,3072,2048
7217,4608,2048
7217,6144,2048
7217,9216,2048
7217,12288,2048
7223,2048,2048
7223,4608,2048
7223,6144,2048
7238,2048,2048
7238,4608,2048
7238,6144,2048
7246,2048,2048
7246,4608,2048
7246,6144,2048
7249,2048,2048
7249,4608,2048
7249,6144,2048
7257,256,2048
7257,2048,128
7257,2048,1024
7257,2560,2048
7257,3072,2048
7265,256,2048
7265,2048,128
7265,2048,1024
7265,2560,2048
7265,3072,2048
7273,1024,2048
7273,2048,512
7273,2048,4096
7273,9216,2048
7273,12288,2048
7274,1024,2048
7274,2048,512
7274,2048,4096
7274,9216,2048
7274,12288,2048
7316,2048,2048
7316,4608,2048
7316,6144,2048
7391,1024,2048
7391,2048,512
7391,2048,4096
7391,9216,2048
7391,12288,2048
7393,256,2048
7393,1024,2048
7393,2048,128
7393,2048,512
7393,2048,1024
7393,2048,2048
7393,2048,4096
7393,2560,2048
7393,3072,2048
7393,4608,2048
7393,6144,2048
7393,9216,2048
7393,12288,2048
7461,256,2048
7461,2048,128
7461,2048,1024
7461,2560,2048
7461,3072,2048
7491,2048,2048
7491,4608,2048
7491,6144,2048
7558,2048,2048
7558,4608,2048
7558,6144,2048
7634,256,2048
7634,2048,128
7634,2048,1024
7634,2560,2048
7634,3072,2048
7650,2048,2048
7650,4608,2048
7650,6144,2048
7715,1024,2048
7715,2048,512
7715,2048,4096
7715,9216,2048
7715,12288,2048
7753,1024,2048
7753,2048,512
7753,2048,2048
7753,2048,4096
7753,4608,2048
7753,6144,2048
7753,9216,2048
7753,12288,2048
7774,2048,2048
7774,4608,2048
7774,6144,2048
7815,2048,2048
7815,4608,2048
7815,6144,2048
7819,1024,2048
7819,2048,512
7819,2048,4096
7819,9216,2048
7819,12288,2048
7834,2048,2048
7834,4608,2048
7834,6144,2048
7836,2048,2048
7836,4608,2048
7836,6144,2048
7871,2048,2048
7871,4608,2048
7871,6144,2048
7899,2048,2048
7899,4608,2048
7899,6144,2048
7913,2048,2048
7913,4608,2048
7913,6144,2048
7930,2048,2048
7930,4608,2048
7930,6144,2048
7961,2048,2048
7961,4608,2048
7961,6144,2048
7963,2048,2048
7963,4608,2048
7963,6144,2048
7974,2048,2048
7974,4608,2048
7974,6144,2048
8016,2048,2048
8016,4608,2048
8016,6144,2048
8017,2048,2048
8017,4608,2048
8017,6144,2048
8099,1024,2048
8099,2048,512
8099,2048,4096
8099,9216,2048
8099,12288,2048
8103,2048,2048
8103,4608,2048
8103,6144,2048
8128,2048,2048
8128,4608,2048
8128,6144,2048
8129,256,2048
8129,1024,2048
8129,2048,128
8129,2048,512
8129,2048,1024
8129,2048,2048
8129,2048,4096
8129,2560,2048
8129,3072,2048
8129,4608,2048
8129,6144,2048
8129,9216,2048
8129,12288,2048
8150,2048,2048
8150,4608,2048
8150,6144,2048
8184,2048,2048
8184,4608,2048
8184,6144,2048
8185,2048,2048
8185,4608,2048
8185,6144,2048
8188,1024,2048
8188,2048,512
8188,2048,4096
8188,9216,2048
8188,12288,2048
8192,256,2048
8192,1024,2048
8192,2048,128
8192,2048,512
8192,2048,1024
8192,2048,2048
8192,2048,4096
8192,2560,2048
8192,3072,2048
8192,4608,2048
8192,6144,2048
8192,9216,2048
8192,12288,2048
